,Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
0,22,1,1,1,8,1,1,1
1,21,0,2,0,7,1,1,1
2,22,0,3,1,6,0,0,1
3,21,1,3,0,8,0,1,1
4,22,1,4,0,8,1,0,1
5,22,1,1,0,6,0,0,0
6,21,1,2,0,7,0,1,0
7,21,1,3,1,7,0,0,0
8,21,1,2,2,6,0,0,1
9,21,0,2,1,6,1,0,0
10,22,1,2,1,7,0,0,0
11,22,0,5,1,8,0,1,1
12,21,0,2,2,6,1,1,0
13,21,1,2,1,8,0,1,1
14,21,0,1,2,8,0,0,1
15,22,1,4,0,8,1,0,1
16,22,0,2,1,7,1,0,0
17,21,1,6,0,6,0,0,0
18,21,1,2,1,7,0,0,0
19,22,1,2,1,7,0,0,0
20,22,1,6,0,8,0,0,1
21,21,1,2,1,6,0,0,0
22,22,1,6,0,7,0,0,0
23,22,1,1,1,7,0,1,0
24,22,1,1,0,7,0,0,0
25,21,1,5,0,8,1,0,1
26,22,1,5,1,8,0,0,1
27,22,1,3,1,8,0,0,1
28,22,1,3,1,8,0,0,1
29,21,1,3,0,6,0,0,1
30,22,1,4,1,8,1,0,1
31,21,1,5,1,7,0,0,1
32,21,0,6,1,7,0,0,0
33,21,1,5,0,7,0,0,0
34,21,1,2,1,6,0,0,1
35,21,1,3,1,6,0,0,0
36,22,1,6,0,7,0,0,1
37,22,1,2,1,8,0,0,1
38,22,1,3,1,6,0,0,0
39,22,1,1,0,8,0,1,1
40,22,1,5,1,6,0,1,0
41,22,1,6,0,8,1,0,1
42,21,1,5,1,7,1,1,1
43,21,1,5,1,7,0,0,1
44,22,0,3,2,8,0,0,1
45,21,0,1,3,6,0,0,1
46,22,1,2,1,8,0,0,1
47,21,1,1,1,7,0,1,1
48,21,1,3,2,7,0,0,1
49,21,0,1,0,7,0,0,0
50,22,1,1,0,8,0,0,1
51,21,1,5,1,8,0,0,1
52,21,0,2,1,8,1,0,1
53,21,1,5,3,6,1,1,0
54,21,0,1,3,6,0,0,1
55,21,1,2,1,7,0,0,1
56,21,1,1,0,8,0,0,1
57,21,1,6,0,8,0,0,1
58,21,1,1,0,8,0,0,1
59,21,0,5,1,8,0,0,1
60,21,1,2,2,9,0,1,1
61,22,1,2,0,8,0,0,1
